additional_list,source
Nebela dentistoma,synoms
Nebela dentistoma laevis,synoms
Nebela pulcherrima,synoms
Nebela tubulata,synoms
Quadrulella discoides,synoms
Corythion pulchellum,synoms
Alabasta longicollis,synoms
Argynnia dentistoma laevis,synoms
Argynnia spicata,synoms
Padaungiella pulcherrima,synoms
Physochila tenella,synoms
Arcella arenaria compressa,rus
Arcella vulgaris polymorpha,rus
Physochila tenella,rus
Assulina minuta,complexes
Centropyxis aculeata gibbosa,complexes
Corythion trinema,complexes
Corythion pulchellum,complexes
Difflugiella minuta,complexes
Difflugia glans,complexes
Gibbocarina tubulosa,complexes
Gibbocarina penardiana,complexes
Microchlamys patella,complexes
Nebela tubulata,complexes
Nebela lageniformis,complexes
Gibbocarina maxima,complexes
Placocista lens,complexes
Placocista gracilis,complexes
Pyxidicula declivis,complexes
