species_outdated,species_current
nebela_longicollis,alabasta_longicollis
nebela_militaris,alabasta_militaris
amphitrema_flavum,archerella_flavum
nebela_caudata,argynnia_caudata
nebela_dentistoma,argynnia_dentistoma
nebela_dentistoma_laevis,argynnia_dentistoma_laevis
nebela_retorta,argynnia_retorta
nebela_spicata,argynnia_spicata
nebela_vitraea,argynnia_vitraea
nebela_vitraea_sphagni,argynnia_vitraea_sphagni
nebela_galeata,gibbocarina_galeata
nebela_gracilis,gibbocarina_gracilis
nebela_golemanskyi,longinebela_golemanskyi
nebela_speciosa,longinebela_speciosa
nebela_tubulosa,longinebela_tubulosa
difflugia_oviformis,netzelia_oviformis
difflugia_tuberculata,netzelia_tuberculata
nebela_lageniformis,padaungiella_lageniformis
nebela_nebeloides,padaungiella_nebeloides
nebela_pulcherrima,padaungiella_pulcherrima
nebela_tubulata,padaungiella_tubulata
nebela_wailesii,padaungiella_wailesii
quadrulella_discoides,paraquadrula_discoides
nebela_griseola,physochila_griseola
nebela_carinata,planocarina_carinata
nebela_marginata,planocarina_marginata
corythion_pulchellum,trachelocorythion_pulchellum
nebela_gertrudiana,argynnia_gertrudiana
nebela_tenella,physochila_tenella
